misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,17640,961,-26.545139474747472,2.192326855659485,-0.0003147881710901856,1.9853166460990905
40,34440,979,-27.66141087,2.166116976737976,-0.0009316306095570326,1.5343464195728302
60,51240,982,-27.605218940000004,2.1717380046844483,-0.00041845254600048065,2.173815429210663
80,68040,988,-27.5471111,2.147446537017822,-0.0007768262177705765,1.3487608075141906
100,84840,995,-25.561350659999995,2.1601339101791384,-0.0002471262589097023,1.4956843733787537
120,101640,1002,-27.35396801,2.180906963348389,-0.0013511933386325837,0.8680766090750694
140,118440,1002,-26.64824979,2.1808404684066773,-0.000214385986328125,2.104022666811943
160,135240,1008,-27.393544939999998,2.1744590997695923,-0.0006442232988774776,2.7824286937713625
180,152040,1028,-28.11600564999999,2.1570545434951782,-0.0005789777263998985,1.7581811457872392
200,168840,1039,-29.05409937,2.1070552349090574,-0.0009468965232372284,1.534666007757187
220,185640,1050,-26.612576369999996,2.108859062194824,5.484595894813538e-05,1.3315003633499145
240,202440,1057,-26.374138029999997,2.1044251203536986,-0.000801314739510417,2.2225292563438415
260,219240,1064,-27.27408249,2.121949863433838,-0.000536821037530899,2.5788172245025636
280,236040,1071,-26.58382724,2.1170655727386474,0.0004087250679731369,2.8275590240955353
300,252840,1078,-27.688230530000002,2.13056743144989,-7.86095391958952e-05,1.5359565556049346
320,269640,1083,-28.417579419999996,2.106906533241272,-0.0007550436537712812,2.5677554488182066
340,286440,1077,-27.38831656,2.1155137538909914,-0.00030534155666828156,1.3066675245761872
360,303240,1080,-25.556867590000003,2.121709132194519,-6.449660286307335e-05,1.707517248392105
380,320040,1083,-24.81378384,2.1279807329177856,-0.00041434820741415024,0.875853979587555
400,336840,1086,-26.08867183,2.1272357225418093,-0.0007367938756942749,1.9166367590427398
420,353640,1089,-25.741501430000003,2.1380440473556517,-0.0006706830114126206,1.7265156924724578
440,370440,1091,-25.11543568,2.1573464393615724,-0.0014537639915943145,1.3010038286447525
460,387240,1092,-25.192263350000005,2.1721303462982178,-0.000436864048242569,1.3315061330795288
480,404040,1093,-26.944142510000002,2.1681893825531007,-0.0012208279222249985,1.2000428140163422
500,420840,1095,-26.11005426,2.1747262239456178,-0.0005658809095621109,1.55923553109169
520,437640,1097,-27.05337478000001,2.1804789543151855,-0.000600027572363615,1.7055427432060242
540,454440,1098,-26.626639880000003,2.1725728511810303,-0.00014926213771104813,2.122008204460144
560,471240,1099,-25.48211636,2.141677641868591,-0.00030761249363422396,3.8803399443626403
580,488040,1100,-24.652146399999996,2.1586371660232544,0.00021308064460754395,2.665541332960129
600,504840,1100,-25.76786495,2.15652973651886,-0.0003911677747964859,1.3039261132478714
620,521640,1101,-24.81736893,2.133342719078064,-0.0003160804510116577,1.9532038986682891
640,538440,1102,-25.92215318,2.167198157310486,0.0002466898411512375,2.314335423707962
660,555240,1103,-25.378532950000004,2.164242148399353,-0.001350443810224533,1.6740656912326812
680,572040,1105,-26.15146718,2.1455433130264283,-0.0009118281304836273,4.775668311119079
700,588840,1106,-26.422539200000003,2.1194287538528442,-0.00014989799819886684,1.149926447868347
720,605640,1106,-25.793224150000004,2.1276201963424684,-0.0022256214171648024,1.898129975795746
